Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Urinet 200mg Tablet,UROLOGY,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Gluwin MV 1mg/500mg/0.3mg Tablet SR,ANTI DIABETICS,371,6.27,3.73,Medium Flexibility,Regular Monitoring
Novastat CV 20 Capsule,CARDIAC,477,8.06,1.94,High Flexibility (Safe),Lean Inventory (Low Risk)
Oxyderm Cream,DERMA,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Brominex P Syrup,RESPIRATORY,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gabaque-NT 400 Tablet,NEURO CNS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Healcof LS Syrup,RESPIRATORY,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levocy M 5mg/10mg Tablet,RESPIRATORY,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
NS 0.9% Injection,BLOOD RELATED,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Heximent 0.2% Mouth Wash,DERMA,120,2.03,7.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Renit 150mg Tablet,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Vomigra 250mg/10mg Tablet,PAIN ANALGESICS,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dicsal-SP Tablet,PAIN ANALGESICS,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
PID 3 KIT,GYNAECOLOGICA,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dalrin TZ 1000mg/125mg Injection,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Quinomac 300mg Injection,ANTI MALARIALS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Floquin 0.5% Eye/Ear Drops,OPHTHAL OTOLOGICALS,370,6.25,3.75,Medium Flexibility,Regular Monitoring
Vriclop A 75/150 Tablet,BLOOD RELATE,27,0.46,9.54,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oflatoz 200mg Tablet,ANTI INFECTIVES,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Qurecuf-LS Syrup,RESPIRATORY,92,1.55,8.45,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kencet 5 Tablet,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Vrimox Clav Dry Syrup,ANTI INFECTIVES,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Inflagesic Plus 400 mg/325 mg Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Riditel H 40mg/12.5mg Tablet,CARDIAC,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Jycort 6mg Tablet,HORMONE,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Sifen P 100mg/325mg Tablet,PAIN ANALGESICS,592,10.0,0.0,High Flexibility (Safe),Lean Inventory (Low Risk)
Ecoglip-TM Tablet PR,ANTI DIABETICS,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telpin A 40mg/5mg Tablet,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Nupenta ITR 40mg/150mg Capsule,GASTRO INTESTINAL,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Enristas 1 Tablet,ANTI DIABETICS,376,6.35,3.65,Medium Flexibility,Regular Monitoring
Textil 1500mg Injection,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Nuzide M Tablet,ANTI DIABETICS,477,8.06,1.94,High Flexibility (Safe),Lean Inventory (Low Risk)
Oflostar M Suspension,GASTRO INTESTINAL,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Startglim MV 2mg/500mg/0.2mg Tablet,ANTI DIABETICS,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Antoxid E Softgel Capsule,VITAMINS MINERALS NUTRIENTS,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Irocent 100mg Injection,GYNAECOLOGICAL,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Aziwok 250 Tablet,ANTI INFECTIVES,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hi Blonet 25mg Tablet ER,CARDIAC,13,0.22,9.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Metagil-GP 2 Tablet SR,ANTI DIABETICS,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Hepez 150mg/100mg Tablet,GASTRO INTESTINAL,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sulfatrim Suspension,ANTI INFECTIVES,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sitanorm 50 Tablet,ANTI DIABETICS,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vilsurge 50mg Tablet,ANTI DIABETICS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kencort 6 Tablet,HORMONE,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Febuzen 40 Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Padrin 5% Lotion,DERMA,572,9.66,0.34,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabanz 20mg Injection,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Opanta 40mg Tablet,GASTRO INTESTINAL,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nexocid DSR 30mg/40mg Capsule,GASTRO INTESTINAL,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Myo-MR 150mg Tablet,PAIN ANALGESICS,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Macglim M Forte 2mg/1000mg Tablet SR,ANTI DIABETICS,158,2.67,7.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oxifol Tablet,GASTRO INTESTINAL,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dilo-DX Syrup Sugar Free,RESPIRATORY,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Insimox LB 250 Capsule,ANTI INFECTIVES,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gipant Tablet,GASTRO INTESTINAL,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tramavin-Plus Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Ritehist-LC Plus Syrup,RESPIRATORY,69,1.17,8.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hincold-DX Syrup Delicious Orange,RESPIRATORY,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ormium-D 10mg/20mg Capsule,GASTRO INTESTINAL,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Voage-MS 1000 Tablet ER,ANTI DIABETICS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Alprolax 0.25mg/20mg Tablet,NEURO CNS,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vildasung M 1000mg/50mg Tablet,ANTI DIABETICS,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Trip-D 10mg/40mg Tablet,GASTRO INTESTINAL,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Vrorex-A Syrup,RESPIRATORY,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bygocef 50mg Syrup,ANTI INFECTIVES,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Gabanip M 300mg/500mcg Tablet,NEURO CNS,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Ivcol 12mg Tablet,ANTI INFECTIVES,65,1.1,8.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Brucon Syrup,RESPIRATORY,48,0.81,9.19,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Debicort 6 Tablet,HORMONE,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Prazonid-DES Capsule SR,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Moxletic 500 Capsule,ANTI INFECTIVES,581,9.81,0.19,High Flexibility (Safe),Lean Inventory (Low Risk)
Prufree 25mg Tablet,RESPIRATORY,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fenpill S 100mg/325mg/10mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Ulciran 150mg Tablet,GASTRO INTESTINAL,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
Ocofer 20mg Injection,GYNAECOLOGICAL,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Betafab 8mg Tablet,NEURO CNS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hb Well Tablet,VITAMINS MINERALS NUTRIENT,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sertaset 2% Cream,DERMA,96,1.62,8.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Uriset 40mg Tablet,PAIN ANALGESICS,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Soworm 6mg/400mg Tablet,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Gedopan-DSR Capsule,GASTRO INTESTINAL,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
ESCIZEN 5MG TABLET,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Tear Safe 0.5% Eye Drop,OPHTHAL,475,8.02,1.98,High Flexibility (Safe),Lean Inventory (Low Risk)
Respifresh-D Soft Gelatin Capsule,RESPIRATORY,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Qsart 20 Tablet,CARDIAC,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Ketnix CT Lotion,DERMA,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Garoin Tablet,NEURO CNS,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ottamec-Plus Injection,VITAMINS MINERALS NUTRIENT,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Espiloc D 30mg/40mg Capsule SR,GASTRO INTESTINAL,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lactoclox 250mg/250mg Capsule,ANTI INFECTIVES,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oxin Syrup,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Pantopraz DSR 30mg/40mg Capsule,GASTRO INTESTINAL,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fludep-AZ 0.25mg/20mg Tablet,NEURO CNS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Xcinzo Injection,ANTI INFECTIVES,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ketopar Eye/Ear Drops,OPHTHA,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Bastic 20 Tablet,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Benpod 200mg Tablet,ANTI INFECTIVES,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lic 300mg Tablet,GASTRO INTESTINAL,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Jycort 6mg Tablet,HORMONE,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Irnotel 100mg Injection,ANTI NEOPLASTICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Faxdin 120mg Tablet,RESPIRATORY,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ocef Syrup,ANTI INFECTIVES,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Gluwin MV 2mg/500mg/0.3mg Tablet SR,ANTI DIABETICS,584,9.86,0.14,High Flexibility (Safe),Lean Inventory (Low Risk)
Revostat Gold 10 Capsule,CARDIAC,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Urifeb 40mg Tablet,PAIN ANALGESICS,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Peritol 1.5mg Oral Drops,VITAMINS MINERALS NUTRIENTS,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Loripride 25 Tablet,NEURO CNS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gatiblu D Eye Drop,OPHTHAL OTOLOGICAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Cortex 40mg Injection,DERMA,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Klinique Forte  Anti-Dandruff Shampoo,DERMA,478,8.07,1.93,High Flexibility (Safe),Lean Inventory (Low Risk)
D Pain TC Capsule,PAIN ANALGESICS,32,0.54,9.46,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mital 500mg/600mg Tablet,ANTI DIABETICS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Istamet  XR 500 Tablet,ANTI DIABETICS,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Joycort 6mg Tablet,HORMONE,264,4.46,5.54,Medium Flexibility,Regular Monitoring
L Flox 250mg Tablet,OPHTHAL,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Balofer-XT Tablet,BLOOD RELATE,32,0.54,9.46,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cobatil-G Tablet,NEURO CNS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Ximeact 200mg/125mg Tablet,ANTI INFECTIVES,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ornol 500mg Tablet,ANTI INFECTIVES,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sdokolul 1% Lotion,DERMA,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bynaf 250mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Tinovir Tablet,ANTI INFECTIVES,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hopecard-H 5/12.5 Capsule,CARDIAC,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Evetel-M 50 Tablet ER,CARDIAC,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Furomed 500mg Tablet,ANTI INFECTIVES,81,1.37,8.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Venxone 250mg Injection,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Progez 100mg Soft Gelatin Capsule,GYNAECOLOGICAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Inac 25mg Injection,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dizral AZM 0.25mg/10mg Tablet,NEURO CNS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Teicozen 200mg Injection,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Sensobest Gel,STOMATOLOGICAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Defagood 6mg Tablet,HORMONE,135,2.28,7.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Urifex 40mg Tablet,PAIN ANALGESICS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Megalis 5mg Tablet,SEX STIMULANTS REJUVENATORS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Seratab 5mg Tablet,PAIN ANALGESICS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabinith 20 Tablet,GASTRO INTESTINAL,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Nazle 0.1% Nasal Drops,RESPIRATORY,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Prenurve M 750mcg/75mg Capsule,NEURO CNS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Panzid 40mg Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Montanex L 5mg/10mg Tablet,RESPIRATORY,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ezequin 100mg Tablet,NEURO CNS,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ycer TH 8mg/100mg/325mg Tablet,PAIN ANALGESICS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telflor 40mg Tablet,CARDIAC,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mepnisole 8mg Tablet,HORMONES,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
Halomesh-S Ointment,DERMA,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Comfort-ON Gel,PAIN ANALGESICS,125,2.11,7.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Codistar T Syrup,RESPIRATORY,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lethyrox 125 Tablet,HORMONES,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Emeton MD 4 Tablet,GASTRO INTESTINAL,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dianorm-M OD Tablet SR,ANTI DIABETICS,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Olsertain Active 20mg Tablet,CARDIAC,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
CARBOTERO 450 MG INJECTION,ANTI NEOPLASTICS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Trurab DSR Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Nimrest Plus 100 mg/500 mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Fetchclav LB 500mg/125mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Neosporin Dusting Powder,DERMA,66,1.11,8.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Migralaxis Tablet SR,CARDIAC,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Worace 100mg/325mg Tablet,PAIN ANALGESICS,92,1.55,8.45,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Apitize Syrup Sugar Free,VITAMINS MINERALS NUTRIENT,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Flabra 20mg Injection,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Osynac K 50mg/500mg Tablet,PAIN ANALGESICS,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tentum Mouth Rinse Alcohol Free,PAIN ANALGESICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Terbiscot 250mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Brombal M Eye Drop,OPHTHA,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Azigrand 500mg Tablet,ANTI INFECTIVES,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Brillo 180mg Tablet,CARDIAC,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lavinebi 5mg Tablet,CARDIAC,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gelol 50mg Tablet,CARDIAC,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kelyrab 20 Tablet,GASTRO INTESTINAL,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rslc 20mg/75mg Tablet,CARDIAC,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bignac SP Tablet,PAIN ANALGESICS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mafloma 250mg Tablet,ANTI MALARIALS,159,2.69,7.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Benmox 250mg/125mg Capsule,ANTI INFECTIVES,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Trexa M 500mg/250mg Tablet,BLOOD RELATE,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
SPASMED TABLET,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Syncare Cream,DERMA,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Loican 1% Cream,DERMA,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Trixone 250mg Injection,ANTI INFECTIVES,265,4.48,5.52,Medium Flexibility,Regular Monitoring
Lyflox O Tablet,GASTRO INTESTINAL,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Clampose Injection,NEURO CNS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bay MF 850mg Tablet,ANTI DIABETICS,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vorivo SP 50mg/325mg/10mg Tablet,PAIN ANALGESICS,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Intemp-M Oral Suspension,PAIN ANALGESICS,266,4.49,5.51,Medium Flexibility,Regular Monitoring
Intagesic-P Tablet,PAIN ANALGESICS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Trox Syrup,RESPIRATORY,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Arzicure Sugar Free Orange Sachet,VITAMINS MINERALS NUTRIENT,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Faxcoss 400mg Tablet,GASTRO INTESTINAL,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Komfylac Syrup,GASTRO INTESTINAL,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimoz-P Tablet,PAIN ANALGESICS,162,2.74,7.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Welcet L 5mg Tablet,RESPIRATORY,93,1.57,8.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gulf 400mg Tablet,GASTRO INTESTINAL,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vomiday 10mg/10mg/2.5mg Tablet,GASTRO INTESTINAL,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Solcold Tablet,RESPIRATORY,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimibose MV 1mg/500mg/0.2mg Tablet SR,ANTI DIABETICS,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Crevast 20 Tablet,CARDIAC,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Vermact 6 Tablet DT,ANTI INFECTIVES,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Prasozole 40mg Injection,GASTRO INTESTINAL,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Omfix 100mg  Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Ticstop Tablet,NEURO CNS,71,1.2,8.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Twinblok  10 Tablet,CARDIAC,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Icobit MR 100mg Tablet SR,PAIN ANALGESICS,131,2.21,7.79,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vritmeta 35 MR Tablet,CARDIAC,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Etohit 120mg Tablet,PAIN ANALGESICS,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Supracof D Syrup,RESPIRATORY,134,2.26,7.74,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Seroace 10mg Tablet,PAIN ANALGESICS,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Iprazole 20 Capsule,GASTRO INTESTINAL,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Combipara Gel,PAIN ANALGESICS,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Stefi 200mg Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gabafast 100mg Capsule,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Danzol Dusting Powder,DERMA,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Delock MR Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Nidagen 100 Capsule,GYNAECOLOGICAL,18,0.3,9.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Britzilam 25 Tablet,NEURO CNS,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Navoset 4mg Tablet,GASTRO INTESTINAL,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Swakam Cold Oral Drops,RESPIRATORY,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Stalin 25mg Tablet,NEURO CNS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Prespar 200mg Tablet,OPHTHAL,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Yepcef 100mg Tablet,ANTI INFECTIVES,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimven M Tablet SR,ANTI DIABETICS,115,1.94,8.06,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mupirol 2% Ointment,DERMA,70,1.18,8.82,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rosawal Gold 75mg/10mg/75mg Capsule,CARDIAC,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Isozole 40 Tablet,GASTRO INTESTINAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Vogic 0.3mg Tablet,ANTI DIABETICS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rubella Vaccine,VACCINE,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
